Nome da Empresa;Categoria;website;Qtd Funcionários;Data da Fundação;Localização
Exame Gestão Contábil e Financeira;Contabilidade;http://exame.cnt.br;0;Sem informação;4776 Av Rubem Bento Alves - 2 and - Santa Catarina, Caxias do Sul, 95032-318,
G2 - Gestao E Intermediacao Financeira;Contabilidade;http://g2gestao.com.br;0;Sem informação;R Jose Felipe Antonio, 303, Apt 62 Bloco 1, Sao Jose Do Rio Preto, Sp 15090-430,
GESAUF - Gestão em Saúde Financeira Ltda;Contabilidade;http://gesauf.com.br;0;Sem informação;Rua Padre Antônio Henrique, 76, Loja 18 Antiga, R. do Papagaio - Rio Doce,, Olinda, Pe 53080-290,
Ergoos Gestão Contábil e Financeira;Contabilidade;http://ergoos.com.br;0;Sem informação;Av. Marques Pereira, 177 - Loja 02 - Centro,, Ubaporanga, Mg 35338-000,
SM Gestão Contábil e Financeira;Contabilidade;http://smgestao.net;0;Sem informação;R. João Cândido, 163 - Sala 303 - Centro,, Sapucaia do Sul, Rs 93216-280,
Secretaria de Gestão Administrativa e Financeira;Administração governamental;http://pelotas.com.br;0;Sem informação;R. Gen. Osório, 918 - Centro,, Pelotas, Rs 96020-000,
TWA Group - Gestão & Consultoria Financeira;Contabilidade;http://twagroup.com.br;0;Sem informação;Rua Itororó, 36 - Centro,, Santos, Sp 11010-070,
Mundial Brokers Gestao Imobiliaria E Financeira;Imóveis comerciais;http://mundialempresas.com.br;0;Sem informação;"R Oagy Kalile, 98, Lote: 10; : Qd J;, Sao Paulo, Sp 05657-100,"
Executiva Outsourcing  Gestão De Terceiros  Certificação Financeira;Contabilidade;http://certifiqueseufornecedor.com.br;0;Sem informação;Rua Vinte E Quatro De Maio, Pinhais, Pr 83323-060,
Acs Consultoria Em Gestao Empresarial E Financeira;Serviços públicos;http://acsgestao.com.br;0;Sem informação;Rua Paracatu, São Paulo, Sp 04302-022,
Rk Partners Assessoria Financeira E Gestao De Recursos;Contabilidade;http://rkpartners.com.br;0;Sem informação;"Av Presidente Juscelino Kubitschek, 2041, Bloco: E; Andar: 17; : Parte;, Sao Paulo, São Paulo 04543-011,"
Unne Consultoria Empresarial Financeira e de Gestão;Contabilidade;http://unnegestao.com.br;0;Sem informação;Servidão Recanto Verde, 155 - Itacorubi,, Florianópolis, Sc 88034-389,
Safe Bpo Financial - Terceirização, Gestão, Assessoria e Consultoria Financeira;Serviços financeiros;http://safebpo.com.br;0;Sem informação;R. Fortaleza, 1892 - Centro,, Cascavel, Pr 85810-051,
MARKETING DIGITAL VIX;Consultoria de gerenciamento;http://marketingdigitalvix.com.br;0;2016;Av Danti Michelini 1087, sala 303, Vitória, Espírito Santo 29060235,
Cronic Agência de Publicidade e Marketing Digital;Consultoria de gerenciamento;http://www.cronic.com.br;11-50;2004;Rua 2500 nº 940 - sala 3 e 4, Balneário Camboriú, Santa Catarina 88330-396,
MVR Marketing Digital & Consulting;Consultoria de gerenciamento;http://www.mvrmarketing.com.br;2-10;2002;Rua Vicente Machado, 2395, (41) 3233-0528 ou (41) 99991-4987, Curitiba, PR 80440020,
